profile_name,profile_id,resource_type,family,maturity,notes
ObservationOxygenSatMyCore,Observation-oxygen-sat-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationPainScoreMyCore,Observation-pain-score-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationPanelMyCore,Observation-panel-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationRandomGlucoseMyCore,Observation-random-glucose-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationRespiRateMyCore,Observation-respi-rate-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationPregnancyMyCore,Observation-social-history-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationSystolicBpMyCore,Observation-systolic-bp-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationWaistMyCore,Observation-waist-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
ObservationWeightMyCore,Observation-weight-my-core,Observation,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
OrganizationMyCore,Organization-my-core,Organization,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
ExtensionOrganizationPositionMyCore,Organization-position-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
OrganizationAffiliationMyCore,OrganizationAffiliation-my-core,OrganizationAffiliation,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
PatientMyCore,Patient-my-core,Patient,identity-and-demographics,draft-v2,Migrated legacy profile or constraint.
PaymentReconciliationMyCore,PaymentReconciliation-my-core,PaymentReconciliation,financial,draft-v2,Migrated legacy profile or constraint.
PractitionerMyCore,Practitioner-my-core,Practitioner,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
PractitionerRoleMyCore,PractitionerRole-my-core,PractitionerRole,organisation-and-workforce,draft-v2,Migrated legacy profile or constraint.
ProcedureMyCore,Procedure-my-core,Procedure,procedures-and-clinical-records,draft-v2,Migrated legacy profile or constraint.
QuestionnaireResponseMyCore,QuestionnaireResponse-my-core,QuestionnaireResponse,other,draft-v2,Migrated legacy profile or constraint.
RelatedPersonMyCore,RelatedPerson-my-core,RelatedPerson,identity-and-demographics,draft-v2,Migrated legacy profile or constraint.
ScheduleMyCore,Schedule-my-core,Schedule,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
ServiceRequestMyCore,ServiceRequest-my-core,ServiceRequest,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
SlotMyCore,Slot-my-core,Slot,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
SpecimenMyCore,Specimen-my-core,Specimen,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
SpecimenDefinitionMyCore,SpecimenDefinition-my-core,SpecimenDefinition,observations-and-diagnostics,draft-v2,Migrated legacy profile or constraint.
TaskMyCore,Task-my-core,Task,scheduling-and-workflow,draft-v2,Migrated legacy profile or constraint.
ExtensionAdditionalInfoMyCore,additional-info-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAddressDistrictMyCore,address-district-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAddressDivisionMyCore,address-division-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAddressStateMyCore,address-state-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAddressSubDivisionMyCore,address-sub-division-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAmendmentMyCore,amended-reason-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAttachmentBooleanMyCore,attachment-boolean-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAttesterMyCore,attester-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionAuditMyCore,audit-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionChildIdentificationMyCore,child-identification-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionCitizenshipMyCore,citizenship-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionClusterFacilityMyCore,cluster-facility-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionClusterNameMyCore,cluster-name-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionCompositionSectionDateMyCore,composition-section-date-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionConfidentialityMyCore,confidentiality-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionContactDetailMyCore,contact-detail-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionDataTypeMyCore,data-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionDrugCautionaryMyCore,drug-cautionary-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionDrugFormMyCore,drug-form-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionEducationLevelMyCore,education-level-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionEncounterOutcomeMyCore,encounter-outcome-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionEncounterRatingMyCore,encounter-rating-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionEthnicMyCore,ethnic-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionBoosterMyCore,extension-booster-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionFormRequiredMyCore,extension-form-required-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionFormTypeMyCore,extension-form-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionForeignerTypeMyCore,foreigner-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionFormularyBoolean,formulary-boolean-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionInternalReferralMyCore,internal-refferal-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionListOperationStatusMyCore,list-operation-status-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionListPeriodMyCore,list-period-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionLocationRecordedMyCore,location-recorded-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMedicationKnowledgeMyCore,medication-knowledge-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMedicationPackDescriptionMyCore,medication-pack-description-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMedicationRecommendedMyCore,medication-recommended-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMedicationKnowledgeSettingMyCore,medicationknowledge-setting-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMiscRequestMyCore,misc-request-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMnemonicMyCore,mnemonic-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionMonthlyHouseholdIncomeMyCore,monthly-household-income-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionNationalityMyCore,nationality-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionNcdVcDxMyCore,ncd-vc-dx-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionObservationContainerMyCore,observation-container-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionOccupationSector,occupation-sector-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionOrganizationCategoryMyCore,organization-category-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionOrganizationPkdMyCore,organization-pkd-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionPatientContactIdentifierMyCore,patient-contact-identifier-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionPersonTitleMyCore,person-title-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionPRDrugClassificationMyCore,pr-drug-classification-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionPrintedDateMyCore,printed-date-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionProcedurePrimaryDisciplineMyCore,procedure-primary-discipline-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionRecordedMyCore,procedure-recorded-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionProcedureSessionTypeMyCore,procedure-session-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionPublicBookingMyCore,public-booking-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionQrItemTypeMyCore,qr-item-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionRelatesToMyCore,relates-to-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionReligionMyCore,religion-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSchedulePositionMyCore,schedule-position-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionScheduleTypeMyCore,schedule-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionServiceProviderMyCore,service-provider-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSimpleRegisterMyCore,simple-register-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSlotQuotaMyCore,slot-quota-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSpecimenCombineSampleMyCore,specimen-combine-sample-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSystemRatingMyCore,system-rating-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionSystemTenatMyCore,system-tenant-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionTransitCentreMyCore,transit-centre-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
ExtensionVisitTypeMyCore,visit-type-my-core,Extension,cross-cutting-extensions,draft-v2,Migrated extension definition.
