programme_family,resource_type,artefact_id,title,source_path,publication_status,notes
Child,Questionnaire,q-child-ds-2-4y,Pemeriksaan Pergigian (Umur 2-4 Tahun),Child\Questionnaire\q-child-ds-2-4y.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-ds-add,Pemeriksaan Pergigian Tambahan,Child\Questionnaire\q-child-ds-add.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-eye,Pemeriksaan Mata,Child\Questionnaire\q-child-eye.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-madd,Additional Medical Exam for Child,Child\Questionnaire\q-child-madd.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-mc-18m-3y,Ujian saringan M-CHAT 18 bulan dan 3 tahun,Child\Questionnaire\q-child-mc-18m-3y.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-md,Rekod 18 Bulan (RME 2),Child\Questionnaire\q-child-md.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-md1m,Rekod 1 Bulan (RME 1),Child\Questionnaire\q-child-md1m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-md4y,Rekod 4 Tahun,Child\Questionnaire\q-child-md4y.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-1-2m,Senarai Semak Rekod Saya Ibu (Lawatan 1 & 2 Bulan),Child\Questionnaire\q-child-rs-1-2m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-12m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 12 Bulan),Child\Questionnaire\q-child-rs-12m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-15m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 15 Bulan),Child\Questionnaire\q-child-rs-15m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-18m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 18 Bulan),Child\Questionnaire\q-child-rs-18m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-2-2y6m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 2 & 2 Tahun 6 Bulan),Child\Questionnaire\q-child-rs-2-2y6m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-21m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 21 Bulan),Child\Questionnaire\q-child-rs-21m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-3-3y6m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 3 & 3 Tahun 6 Bulan),Child\Questionnaire\q-child-rs-3-3y6m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-3-4m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 3 & 4 Bulan),Child\Questionnaire\q-child-rs-3-4m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-4y,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 4 Tahun),Child\Questionnaire\q-child-rs-4y.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-5-6m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 5 & 6 Bulan),Child\Questionnaire\q-child-rs-5-6m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-5-6y,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 5 & 6 Tahun),Child\Questionnaire\q-child-rs-5-6y.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-9-10m,Senarai Semak Rekod Saya Ibu Bapa (Lawatan 9 & 10 Bulan),Child\Questionnaire\q-child-rs-9-10m.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-carta,Carta Perkembangan Si Comel Anda,Child\Questionnaire\q-child-rs-carta.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,Questionnaire,q-child-rs-gigi,Pertumbuhan Gigi Si Comel Anda,Child\Questionnaire\q-child-rs-gigi.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Child,QuestionnaireResponse,qr-child-01,qr-child-01,Child\QuestionnaireResponse\qr-child-01.json,source-preserved-not-published,Corrected duplicate QuestionnaireResponse id to match the filename and identifier value.
Child,QuestionnaireResponse,qr-child-02,qr-child-02,Child\QuestionnaireResponse\qr-child-02.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-03,qr-child-03,Child\QuestionnaireResponse\qr-child-03.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-04,qr-child-04,Child\QuestionnaireResponse\qr-child-04.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-05,qr-child-05,Child\QuestionnaireResponse\qr-child-05.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-06,qr-child-06,Child\QuestionnaireResponse\qr-child-06.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-08,qr-child-08,Child\QuestionnaireResponse\qr-child-08.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-10m,qr-child-10m,Child\QuestionnaireResponse\qr-child-10m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-12-15m,qr-child-12-15m,Child\QuestionnaireResponse\qr-child-12-15m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-18-21m,qr-child-18-21m,Child\QuestionnaireResponse\qr-child-18-21m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-1m,qr-child-1m,Child\QuestionnaireResponse\qr-child-1m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-2-3y,qr-child-2-3y,Child\QuestionnaireResponse\qr-child-2-3y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-2m,qr-child-2m,Child\QuestionnaireResponse\qr-child-2m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-3-4m,qr-child-3-4m,Child\QuestionnaireResponse\qr-child-3-4m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-4y,qr-child-4y,Child\QuestionnaireResponse\qr-child-4y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-5-6m,qr-child-5-6m,Child\QuestionnaireResponse\qr-child-5-6m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-5-6y,qr-child-5-6y,Child\QuestionnaireResponse\qr-child-5-6y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-9m,qr-child-9m,Child\QuestionnaireResponse\qr-child-9m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-add,qr-child-add,Child\QuestionnaireResponse\qr-child-add.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-born,qr-child-born,Child\QuestionnaireResponse\qr-child-born.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-ds-0-9m,qr-child-ds-0-9m,Child\QuestionnaireResponse\qr-child-ds-0-9m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-ds-10-23m,qr-child-ds-10-23m,Child\QuestionnaireResponse\qr-child-ds-10-23m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-ds-2-4y,qr-child-ds-2-4y,Child\QuestionnaireResponse\qr-child-ds-2-4y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-ds-add,qr-child-ds-add,Child\QuestionnaireResponse\qr-child-ds-add.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-eye,qr-child-eye,Child\QuestionnaireResponse\qr-child-eye.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-madd,qr-child-madd,Child\QuestionnaireResponse\qr-child-madd.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-mc-18m-3y,qr-child-mc-18m-3y,Child\QuestionnaireResponse\qr-child-mc-18m-3y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-md,qr-child-md,Child\QuestionnaireResponse\qr-child-md.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-md1m,qr-child-md1m,Child\QuestionnaireResponse\qr-child-md1m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-md4y,qr-child-md4y,Child\QuestionnaireResponse\qr-child-md4y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-1-2m,qr-child-rs-1-2m,Child\QuestionnaireResponse\qr-child-rs-1-2m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-12m,qr-child-rs-12m,Child\QuestionnaireResponse\qr-child-rs-12m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-15m,qr-child-rs-15m,Child\QuestionnaireResponse\qr-child-rs-15m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-18m,qr-child-rs-18m,Child\QuestionnaireResponse\qr-child-rs-18m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-2-2y6m,qr-child-rs-2-2y6m,Child\QuestionnaireResponse\qr-child-rs-2-2y6m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-21m,qr-child-rs-21m,Child\QuestionnaireResponse\qr-child-rs-21m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-3-3y6m,qr-child-rs-3-3y6m,Child\QuestionnaireResponse\qr-child-rs-3-3y6m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-3-4m,qr-child-rs-3-4m,Child\QuestionnaireResponse\qr-child-rs-3-4m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-4y,qr-child-rs-4y,Child\QuestionnaireResponse\qr-child-rs-4y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-5-6m,qr-child-rs-5-6m,Child\QuestionnaireResponse\qr-child-rs-5-6m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-5-6y,qr-child-rs-5-6y,Child\QuestionnaireResponse\qr-child-rs-5-6y.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-9-10m,qr-child-rs-9-10m,Child\QuestionnaireResponse\qr-child-rs-9-10m.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-carta,qr-child-rs-carta,Child\QuestionnaireResponse\qr-child-rs-carta.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Child,QuestionnaireResponse,qr-child-rs-gigi,qr-child-rs-gigi,Child\QuestionnaireResponse\qr-child-rs-gigi.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Composition Form,Questionnaire,q-dengue-checklist,Dengue Assessment Checklist,Composition Form\Questionnaire\q-dengue-checklist.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Composition Form,Questionnaire,q-hpt-note,Hypertension Clerking Note,Composition Form\Questionnaire\q-hpt-note.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Composition Form,Questionnaire,q-tb-note,TB Clerking Template,Composition Form\Questionnaire\q-tb-note.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Composition Form,QuestionnaireResponse,qr-dengue-checklist,qr-dengue-checklist,Composition Form\QuestionnaireResponse\qr-dengue-checklist.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Composition Form,QuestionnaireResponse,qr-hpt-note,qr-hpt-note,Composition Form\QuestionnaireResponse\qr-hpt-note.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Composition Form,QuestionnaireResponse,qr-tb-note,qr-tb-note,Composition Form\QuestionnaireResponse\qr-tb-note.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Maternal,Questionnaire,q-maternal-01,Rekod Kesihatan Ibu,Maternal\Questionnaire\q-maternal-01.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-02,Perihal Kandungan Lalu,Maternal\Questionnaire\q-maternal-02.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-03,Riwayat Kesihatan Ibu Dan Keluarga,Maternal\Questionnaire\q-maternal-03.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-05,Penyakit/status yang disaring,Maternal\Questionnaire\q-maternal-05.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-07,Pemeriksaan Oleh Pegawai Perubatan dan Pegawai Pergigian,Maternal\Questionnaire\q-maternal-07.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-08,Senarai Semak Kriteria Untuk Ujian Saringan OGTT,Maternal\Questionnaire\q-maternal-08.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-09,Keputusan Ujian OGTT,Maternal\Questionnaire\q-maternal-09.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-10,Pemantauan Paras Gula Dalam Darah,Maternal\Questionnaire\q-maternal-10.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-11,Pemantauan Tekanan Darah,Maternal\Questionnaire\q-maternal-11.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-12,Pemantauan Profil Pre-Eclampsia,Maternal\Questionnaire\q-maternal-12.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-13,Pemantauan Peningkatan Berat Badan Ibu Antenatal,Maternal\Questionnaire\q-maternal-13.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-15,Keputusan Pemeriksaan Ultrasound,Maternal\Questionnaire\q-maternal-15.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-17,Sistem Kod Warna dan Senarai Semak Penjagaan Antenatal,Maternal\Questionnaire\q-maternal-17.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-18,Senarai Semak Risiko VTE Semasa Hamil dan Puerperium,Maternal\Questionnaire\q-maternal-18.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-20,Pemeriksaan Kandungan Semasa,Maternal\Questionnaire\q-maternal-20.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-21,Kemasukan Hospital,Maternal\Questionnaire\q-maternal-21.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-23,Perihal Kelahiran (Diisi oleh Penyambut Kelahiran),Maternal\Questionnaire\q-maternal-23.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-24,Perawatan Postnatal Dirumah,Maternal\Questionnaire\q-maternal-24.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-25,"Masalah Dikesan Semasa Postnatal, Pengendalian dan Rawatan",Maternal\Questionnaire\q-maternal-25.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-26,Jadual Suntikan Thromboprophylaxis Untuk Ibu Postnatal ((SUBCUTANEOUS UNFRACTIONATED HEPARIN/ LOW MOLECULAR WEIGHT HEPARIN) - Jika Berkaitan,Maternal\Questionnaire\q-maternal-26.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-27,Senarai Semak Keberkesanan Penyusuan Susu Ibu Semasa Postnatal,Maternal\Questionnaire\q-maternal-27.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-28,Senarai Semak Penjagaan Postnatal Mengikut Kod Warna,Maternal\Questionnaire\q-maternal-28.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-29,Pemeriksaan Ibu Postnatal (1 Bulan) di Klinik,Maternal\Questionnaire\q-maternal-29.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-30,Rekod Pemberian Pendidikan Kesihatan,Maternal\Questionnaire\q-maternal-30.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,Questionnaire,q-maternal-30-no-person,Rekod Pemberian Pendidikan Kesihatan (No Person Confirmation),Maternal\Questionnaire\q-maternal-30.R4 no person.json,source-preserved-not-published,Retained as a separate no-person programme questionnaire variant.
Maternal,Questionnaire,q-maternal-31,Informasi Panduan Dan Pendidikan Kesihatan,Maternal\Questionnaire\q-maternal-31.R4.json,source-preserved-not-published,"Legacy programme questionnaire preserved in source lineage and programme-content register, excluded from the vendor-facing IG publication set."
Maternal,QuestionnaireResponse,qr-maternal-01,qr-maternal-01,Maternal\QuestionnaireResponse\qr-maternal-01.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
Maternal,QuestionnaireResponse,qr-maternal-02,qr-maternal-02,Maternal\QuestionnaireResponse\qr-maternal-02.json,source-preserved-not-published,"Legacy QuestionnaireResponse retained in source and test assets, not published in the live IG resource set."
